#fake dataset for test 2026.3.19
user_id,date,text,depression_label
1,2025-01-01,"I feel tired and unmotivated today.",1
1,2025-01-03,"Nothing seems to get better lately.",1
1,2025-01-05,"I don't think I can handle things anymore.",1
2,2025-01-01,"Had a productive day and felt good.",0
2,2025-01-03,"Work was stressful but I managed well.",0
2,2025-01-05,"Looking forward to the weekend.",0
3,2025-01-02,"Everything feels empty and repetitive.",1
3,2025-01-04,"I stayed in bed most of the day.",1
3,2025-01-06,"I don't want to talk to anyone.",1
4,2025-01-02,"Went out with friends and had fun.",0
4,2025-01-04,"Busy day but overall okay.",0
4,2025-01-06,"Feeling optimistic about my plans.",0
